series,transform_code,sw_factor,raw_mean,raw_std,trans_mean,trans_std,raw_missing,trans_missing,status
ISRATIOx,2,0,1.469016,0.119887,-0.00065,0.029595,0,1,OK
CONSPIx,2,0,135.551423,18.540824,0.066735,2.293649,0,1,OK
CP3M,2,0,4.889401,3.37974,0.003383,0.81419,0,1,OK
COMPAPFF,1,0,0.118127,0.388158,0.118127,0.388158,0,0,OK
PERMITNE,5,0,171.020278,60.821912,-0.002126,0.14418,4,5,OK
PERMITMW,5,0,256.772497,83.612197,-0.000364,0.111005,4,5,OK
PERMITS,5,0,595.199624,198.488228,0.003306,0.08578,4,5,OK
PERMITW,5,0,350.79848,109.820513,-4.8e-05,0.112001,4,5,OK
NIKKEI225,5,0,13102.015072,9703.295561,0.01536,0.080183,0,1,OK
NASDAQCOM,5,0,3031.159378,4381.78166,0.024484,0.091056,48,49,OK
CUSR0000SEHC,6,0,229.966904,83.379408,-2.6e-05,0.002189,96,98,OK
TLBSNNCBx,5,0,10.219586,6.727329,0.008782,0.02002,1,2,OK
TLBSNNCBBDIx,1,0,0.011344,0.002797,0.011344,0.002797,1,1,OK
TTAABSNNCBx,5,0,11.956617,6.723618,0.007684,0.014002,1,2,OK
TNWMVBSNNCBx,5,0,11051.384248,7585.072529,0.010486,0.03208,1,2,OK
TNWMVBSNNCBBDIx,2,0,1121.024511,204.765994,-0.80317,98.598384,1,2,OK
TLBSNNBx,5,0,3427984.513008,2920809.726173,0.012884,0.012789,1,2,OK
TLBSNNBBDIx,1,0,310739.670451,65435.663831,310739.670451,65435.663831,1,1,OK
TABSNNBx,5,0,9396476.189023,6093621.131294,0.008383,0.011379,1,2,OK
TNWBSNNBx,5,0,5953.582256,3188.269051,0.00664,0.016515,1,2,OK
TNWBSNNBBDIx,2,0,754.050338,293.389087,-4.400151,53.446031,1,2,OK
CNCFx,5,0,1001.708637,707.387368,0.011138,0.069256,1,2,OK
S&P 500,5,1,1013.463121,1312.484926,0.017865,0.060018,0,1,OK
S&P div yield,2,0,2.81114,1.140158,-0.007374,0.202169,0,1,OK
S&P PE ratio,5,0,19.589303,8.321193,0.001757,0.099355,0,1,OK
